order_id,customer_name,region,product,order_date,quantity,unit_price,currency,status
ORD108575,VINCI ,,Concrete Mix,2023-01-06,20,unknown,,
ORD103742,,Europe,Solar Panel,2023-04-28,ten,unknown,,Pending
ORD106231,EDF,EUROPE,Medical Kit,2023-07-21,ten,250.0,,delivered
ORD105723,Sanofi,EU,Medical Kit,2023-05-25,50,999.99,EUR,Cancelled
ORD108987,Air Liquide,,Wind Turbine,32/13/2023,-5,-20,usd,PENDING
ORD106522,sanofi,EU,Wind Turbine,32/13/2023,-5,100.5,eur,Pending
ORD103149,Sanofi,Europe,solar panel,2023-05-15,10,0,usd,delivered
ORD102876,sanofi,EU,Gas Valve,2023-12-30,100,100.5,eur,delivered
ORD105914,VINCI ,North America,Solar Panel,2024-01-05,ten,250.0,usd,delivered
ORD107744,edf,NA,Medical Kit,2023-02-23,100,-20,eur,Pending
ORD105700,Air Liquide,EU,Medical Kit,2023-03-07,10,250.0,eur,
ORD104689,Total Energies,Europe,Gas Valve,2024-05-15,100,-20,,PENDING
ORD101780,Vinci,EUROPE,Wind Turbine,2024-11-23,-5,250.0,,PENDING
ORD108904,sanofi,APAC,Medical Kit,2024-09-06,50,999.99,EUR,delivered
ORD104359,Vinci,EU,Solar Panel,32/13/2023,-5,-20,,Cancelled
ORD107732,VINCI ,EU,Gas Valve,2024-08-11,ten,-20,usd,delivered
ORD103794,,EUROPE,Gas Valve,2023-04-16,20,-20,USD,PENDING
ORD103370,Bouygues,EUROPE,Wind Turbine,2024-05-17,-5,250.0,USD,delivered
ORD106013,EDF,EUROPE,Solar Panel,32/13/2023,ten,,USD,
ORD105803,Air Liquide,apac,Solar Panel,2023-02-22,20,100.5,eur,
ORD108778,EDF,,Solar Panel,2024-05-05,10,250.0,EUR,PENDING
ORD109077,,North America,Solar Panel,2023-11-30,,unknown,usd,PENDING
ORD103053,Bouygues,Europe,Solar Panel,2023-02-16,,0,EUR,
ORD103288,Total Energies,APAC,Medical Kit,2023-06-04,10,-20,EUR,PENDING
ORD102589,sanofi,NA,Medical Kit,2024-09-14,-5,,eur,Cancelled
ORD108057,Vinci,EUROPE,Concrete Mix,2023-01-13,ten,100.5,eur,PENDING
ORD104587,Bouygues,APAC,Solar Panel,2023-08-30,-5,100.5,eur,Cancelled
ORD100033,Bouygues,EUROPE,Concrete Mix,2024-03-09,20,unknown,eur,Delivered
ORD106388,sanofi,,Gas Valve,2023-12-01,,999.99,,Delivered
ORD107194,Air Liquide,Europe,Wind Turbine,2023-11-30,20,999.99,eur,Delivered
ORD108377,Total Energies,EUROPE,Solar Panel,32/13/2023,20,100.5,eur,Cancelled
ORD104816,EDF,NA,Gas Valve,2023-05-20,-5,250.0,eur,PENDING
ORD100900,Sanofi,EU,Solar Panel,2023-02-22,,250.0,USD,
ORD100765,Sanofi,apac,Gas Valve,2024-11-17,100,,USD,Pending
ORD107550,Vinci,EUROPE,Solar Panel,2023-04-02,-5,100.5,EUR,delivered
ORD100733,VINCI ,EU,Gas Valve,2023-06-20,10,unknown,,Pending
ORD105909,VINCI ,APAC,Gas Valve,2023-10-16,20,unknown,USD,Delivered
ORD100568,VINCI ,EUROPE,Gas Valve,2023-06-24,20,-20,EUR,Cancelled
ORD101254,Bouygues,Europe,Concrete Mix,2023-03-16,ten,,usd,Pending
ORD109601,Bouygues,Europe,Gas Valve,32/13/2023,-5,0,USD,delivered
ORD103615,EDF,APAC,Wind Turbine,2023-03-03,ten,100.5,usd,
ORD108353,Total Energies,NA,Solar Panel,2024-01-05,,0,EUR,
ORD105317,sanofi,EU,solar panel,2023-10-07,50,100.5,EUR,Delivered
ORD100039,Air Liquide,,Solar Panel,2024-07-08,20,0,usd,delivered
ORD109201,,North America,Concrete Mix,2024-10-23,50,250.0,USD,delivered
ORD103392,EDF,APAC,Concrete Mix,2023-05-04,-5,0,usd,delivered
ORD105440,sanofi,apac,Wind Turbine,2023-01-15,-5,0,USD,Pending
ORD103928,Bouygues,EU,Solar Panel,2023-09-19,20,100.5,,delivered
ORD101413,Sanofi,EU,Wind Turbine,2023-08-29,-5,0,eur,Pending
ORD105289,Sanofi,Europe,Wind Turbine,2024-02-25,100,,USD,PENDING
ORD109747,edf,,Solar Panel,2024-08-22,20,250.0,USD,delivered
ORD109160,sanofi,EU,Concrete Mix,2024-09-20,20,250.0,eur,
ORD105181,edf,APAC,Medical Kit,2023-09-10,10,unknown,EUR,delivered
ORD105123,VINCI ,North America,solar panel,2024-09-06,,999.99,EUR,
ORD106421,sanofi,apac,Wind Turbine,2023-08-01,50,,,
ORD109436,Sanofi,North America,Gas Valve,2024-04-07,ten,-20,,
ORD103126,,,Gas Valve,32/13/2023,ten,100.5,EUR,delivered
ORD108840,edf,APAC,Medical Kit,2024-10-08,,-20,EUR,
ORD101957,EDF,EUROPE,Solar Panel,2024-08-24,ten,unknown,EUR,Pending
ORD108969,Sanofi,APAC,Gas Valve,2023-05-14,20,-20,USD,delivered
ORD101183,,North America,Gas Valve,2023-11-10,10,unknown,,PENDING
ORD109103,Vinci,EUROPE,Solar Panel,2023-01-04,-5,250.0,USD,Cancelled
ORD104347,,apac,Solar Panel,2024-04-19,ten,-20,USD,Pending
ORD100251,Total Energies,APAC,solar panel,2023-01-17,50,-20,USD,Pending
ORD101472,Total Energies,EU,Solar Panel,2024-09-20,,unknown,eur,Pending
ORD106223,,apac,Wind Turbine,2023-05-27,-5,,USD,delivered
ORD105357,Vinci,apac,Wind Turbine,2023-12-31,50,-20,EUR,Cancelled
ORD100096,edf,apac,solar panel,2024-09-28,,999.99,EUR,
ORD107808,Total Energies,EU,Medical Kit,32/13/2023,ten,250.0,EUR,delivered
ORD104792,VINCI ,apac,Solar Panel,2024-06-03,50,999.99,,Delivered
ORD106483,EDF,apac,Wind Turbine,2024-03-20,100,250.0,EUR,Cancelled
ORD104169,,North America,Concrete Mix,2023-02-06,,999.99,USD,Cancelled
ORD102392,edf,EU,Concrete Mix,2023-10-28,,0,EUR,PENDING
ORD102444,,North America,Concrete Mix,2023-03-14,100,,eur,Cancelled
ORD104884,edf,NA,Concrete Mix,2024-04-20,ten,unknown,USD,Cancelled
ORD101608,Sanofi,EUROPE,Concrete Mix,2024-09-30,ten,-20,usd,delivered
ORD100107,,NA,Concrete Mix,2024-03-08,-5,,,delivered
ORD109877,edf,EUROPE,Gas Valve,2024-06-03,,unknown,,Pending
ORD101217,Vinci,North America,Gas Valve,2023-10-01,,100.5,usd,PENDING
ORD107492,VINCI ,EU,Medical Kit,2024-02-08,-5,0,,Cancelled
ORD100303,Vinci,Europe,Concrete Mix,2023-12-02,10,100.5,eur,delivered
ORD109239,sanofi,NA,Concrete Mix,2023-12-09,ten,999.99,EUR,Delivered
ORD102474,Bouygues,Europe,solar panel,2023-07-09,,100.5,,Pending
ORD102335,Sanofi,,Solar Panel,2024-09-12,10,,usd,
ORD101071,Air Liquide,apac,Medical Kit,2023-07-22,,unknown,EUR,PENDING
ORD101512,Air Liquide,EU,Solar Panel,2023-11-17,50,-20,USD,PENDING
ORD100169,VINCI ,apac,Wind Turbine,2024-03-26,50,250.0,USD,Pending
ORD101626,EDF,North America,Concrete Mix,2024-04-22,,,EUR,PENDING
ORD106004,sanofi,apac,Gas Valve,2024-02-02,-5,100.5,EUR,PENDING
ORD105325,Air Liquide,EU,Gas Valve,2024-07-26,-5,999.99,EUR,delivered
ORD100576,Vinci,North America,Wind Turbine,2024-01-31,,999.99,EUR,Pending
ORD104047,,APAC,Gas Valve,2023-04-11,20,999.99,EUR,
ORD108752,edf,North America,Solar Panel,2024-02-26,20,-20,,
ORD108140,edf,North America,Solar Panel,2023-11-25,-5,100.5,,
ORD106145,VINCI ,EU,solar panel,2023-04-30,ten,100.5,,
ORD101650,EDF,North America,Medical Kit,2023-01-16,100,100.5,usd,
ORD107517,,EU,solar panel,2024-03-24,100,0,EUR,Pending
ORD101730,sanofi,EUROPE,Wind Turbine,2024-06-07,20,250.0,usd,Pending
ORD108600,VINCI ,EU,Wind Turbine,2024-03-23,10,999.99,USD,Pending
ORD107063,Air Liquide,apac,Gas Valve,2024-07-30,20,,eur,Delivered
ORD105284,Sanofi,,Gas Valve,2023-10-21,-5,100.5,eur,Pending
ORD109729,Bouygues,apac,Gas Valve,2023-07-10,20,,eur,Delivered
ORD107740,,,Solar Panel,2024-10-18,ten,,USD,Pending
ORD100321,edf,APAC,Concrete Mix,2023-07-20,50,250.0,eur,Delivered
ORD109023,Total Energies,APAC,solar panel,2024-05-21,,250.0,eur,PENDING
ORD102191,edf,Europe,Wind Turbine,2023-01-05,20,,EUR,Pending
ORD104151,Sanofi,,Medical Kit,2023-04-19,10,250.0,EUR,delivered
ORD102973,Vinci,EUROPE,Medical Kit,32/13/2023,100,100.5,USD,
ORD107875,,EUROPE,Wind Turbine,2024-03-08,100,0,,PENDING
ORD102487,EDF,apac,Gas Valve,2024-01-07,50,0,,
ORD107671,,Europe,Gas Valve,32/13/2023,20,250.0,,PENDING
ORD100500,EDF,Europe,Medical Kit,2023-06-12,100,999.99,,Cancelled
ORD100937,Sanofi,Europe,Concrete Mix,2024-02-21,-5,0,eur,Pending
ORD102625,Total Energies,,Concrete Mix,2024-07-09,100,,eur,delivered
ORD104604,,,Solar Panel,2023-10-17,100,0,EUR,Cancelled
ORD106017,Air Liquide,Europe,Wind Turbine,2023-03-22,10,250.0,usd,Pending
ORD104787,Bouygues,NA,solar panel,2023-09-28,-5,100.5,USD,
ORD100439,sanofi,APAC,Gas Valve,2023-07-18,-5,unknown,usd,Pending
ORD107551,Bouygues,,Solar Panel,2024-05-22,-5,0,EUR,Delivered
ORD100624,EDF,apac,Gas Valve,2024-04-18,,-20,EUR,
ORD101508,VINCI ,Europe,solar panel,2024-04-24,50,,USD,delivered
ORD109345,VINCI ,EU,Wind Turbine,2023-10-26,-5,0,usd,Delivered
ORD108765,Sanofi,EUROPE,solar panel,2023-07-19,,,USD,Pending
ORD102534,VINCI ,EUROPE,Gas Valve,2024-06-24,10,,,Delivered
ORD108888,Total Energies,apac,solar panel,2024-08-31,50,-20,USD,delivered
ORD100655,Vinci,EUROPE,Solar Panel,2023-08-07,50,0,eur,Delivered
ORD103412,Bouygues,Europe,solar panel,2023-04-07,10,,,Pending
ORD107354,Total Energies,North America,Concrete Mix,2023-05-03,-5,-20,eur,Pending
ORD100518,edf,apac,solar panel,2024-03-27,10,0,eur,delivered
ORD104989,Total Energies,Europe,Wind Turbine,2023-07-13,100,-20,USD,PENDING
ORD100346,EDF,APAC,solar panel,2023-04-13,100,-20,USD,delivered
ORD105130,Bouygues,EU,Solar Panel,2024-02-07,100,-20,USD,PENDING
ORD102304,EDF,NA,Concrete Mix,2024-10-28,,999.99,,delivered
ORD102138,sanofi,APAC,solar panel,2024-03-10,,250.0,usd,PENDING
ORD100315,EDF,Europe,Gas Valve,2023-07-30,-5,250.0,eur,PENDING
ORD109363,Bouygues,APAC,Solar Panel,2023-01-07,,999.99,,Pending
ORD100673,,Europe,solar panel,2023-07-15,-5,999.99,eur,PENDING
ORD102996,Sanofi,EUROPE,solar panel,2023-11-08,10,100.5,USD,Pending
ORD109638,VINCI ,NA,solar panel,2024-05-31,-5,250.0,EUR,PENDING
ORD103352,edf,North America,Concrete Mix,2023-04-05,20,100.5,,Delivered
ORD100483,Sanofi,apac,Concrete Mix,2024-07-02,50,,usd,delivered
ORD101683,VINCI ,APAC,Medical Kit,2024-02-02,,-20,eur,Pending
ORD108882,,apac,Gas Valve,2024-03-26,,250.0,usd,delivered
ORD109050,VINCI ,North America,Gas Valve,2024-05-29,20,,,delivered
ORD107610,VINCI ,EU,Solar Panel,2024-09-25,20,100.5,,Pending
ORD108911,Sanofi,apac,Concrete Mix,2024-07-29,50,999.99,,Cancelled
ORD101123,Total Energies,,Wind Turbine,32/13/2023,10,unknown,USD,delivered
ORD105576,edf,apac,Gas Valve,2023-04-07,10,unknown,eur,Delivered
ORD106266,Air Liquide,EUROPE,Gas Valve,2023-06-20,50,unknown,usd,Pending
ORD101595,Air Liquide,apac,Medical Kit,32/13/2023,100,-20,eur,PENDING
ORD100761,Air Liquide,EU,Concrete Mix,2024-03-15,50,,usd,delivered
ORD108664,VINCI ,APAC,Medical Kit,32/13/2023,20,unknown,eur,Cancelled
ORD108349,VINCI ,,Wind Turbine,2023-11-10,,,eur,delivered
ORD107496,EDF,,Gas Valve,2023-11-30,100,0,,delivered
ORD102029,Air Liquide,EU,Wind Turbine,2024-02-15,,250.0,USD,delivered
ORD106835,sanofi,NA,Medical Kit,2023-04-25,ten,100.5,eur,Delivered
ORD103963,Bouygues,Europe,Wind Turbine,32/13/2023,-5,250.0,usd,PENDING
ORD107498,sanofi,North America,Solar Panel,2024-06-20,100,unknown,USD,Cancelled
ORD100259,,EU,Concrete Mix,32/13/2023,ten,100.5,usd,Delivered
ORD103094,Bouygues,EU,Gas Valve,2024-10-31,50,250.0,usd,Delivered
ORD100952,edf,NA,Wind Turbine,32/13/2023,100,250.0,USD,Delivered
ORD109817,EDF,apac,Solar Panel,2023-09-28,100,-20,usd,PENDING
ORD104055,edf,EUROPE,Medical Kit,2023-07-18,50,-20,EUR,Cancelled
ORD107286,Sanofi,EUROPE,solar panel,2023-01-28,-5,999.99,,Delivered
ORD100311,Air Liquide,apac,Concrete Mix,2024-06-15,20,0,,Pending
ORD104693,Vinci,NA,Wind Turbine,32/13/2023,10,999.99,EUR,Pending
ORD102128,sanofi,NA,Concrete Mix,2024-06-18,,100.5,eur,Delivered
ORD107207,Bouygues,apac,Concrete Mix,32/13/2023,20,unknown,,Delivered
ORD100932,VINCI ,apac,Medical Kit,2024-03-29,-5,100.5,eur,Pending
ORD100031,Sanofi,,Solar Panel,2024-01-26,-5,250.0,usd,PENDING
ORD100035,Vinci,Europe,Gas Valve,2023-08-28,-5,0,USD,Delivered
ORD106096,Total Energies,APAC,solar panel,2023-09-13,,unknown,,
ORD106556,Vinci,EUROPE,Concrete Mix,2024-11-26,10,250.0,USD,Pending
ORD109228,Bouygues,EUROPE,Solar Panel,32/13/2023,-5,,eur,PENDING
ORD106601,edf,North America,Wind Turbine,2024-09-06,ten,unknown,usd,PENDING
ORD108786,edf,APAC,Wind Turbine,2023-09-03,-5,0,USD,Pending
ORD106128,Total Energies,North America,Medical Kit,2023-11-24,20,unknown,usd,Pending
ORD103378,VINCI ,North America,Wind Turbine,32/13/2023,10,0,EUR,Cancelled
ORD105382,EDF,,Wind Turbine,2024-06-09,-5,unknown,eur,Pending
ORD102818,Vinci,apac,Wind Turbine,2024-06-08,-5,0,USD,
ORD104049,sanofi,North America,Medical Kit,2023-10-19,20,,,
ORD108221,edf,APAC,solar panel,2024-03-25,10,,EUR,
ORD106394,Air Liquide,apac,Solar Panel,2024-03-12,100,unknown,eur,Pending
ORD109284,EDF,Europe,solar panel,2023-09-17,10,100.5,usd,
ORD103520,Total Energies,apac,Concrete Mix,2024-05-05,,unknown,eur,Cancelled
ORD106728,edf,EUROPE,solar panel,2024-02-11,ten,,,
ORD105306,edf,apac,Concrete Mix,2024-06-12,,-20,USD,PENDING
ORD100295,,EUROPE,Medical Kit,2024-01-18,100,100.5,USD,Pending
